hgnc_symbol	logFC	rank	AveExpr
NUDT16	142.384329831687	4.7369095353053	105.054511969915
SCNN1G	5.68796018334741	4.7369095353053	2.8439800916737
TSC22D3	169.955077124332	4.7369095353053	91.0693779254065
NT5DC3	160.940735685085	4.7369095353053	147.87389467124
MT1X	6.33657564807879	4.7369095353053	4.17348489514146
MT1E	157.968254066464	4.7369095353053	95.2071518552796
BIRC3	219.243719275447	4.57991281956743	133.252983745424
PXYLP1	15.9229618072625	4.57991281956743	9.31701492974266
MT2A	208.17845902782	4.57603987535834	156.147865952437
FKBP5	1137.54663546117	4.44416661169739	629.001345983753
DUSP1	143.668218833152	4.44416661169739	88.6899571623232
AL033519.1	13.5041932048939	4.44416661169739	7.49721248449953
CDKN1A	161.479505477305	4.26107595224899	145.150676881017
DNER	8.51973685497857	4.25922001164736	6.72043221774861
EVA1C	6.38906238242023	4.25922001164736	6.54002006945148
SERPINE1	1249.5458520117	4.22988837920223	1008.83458217875
ELL2	121.461146913524	4.14421178486921	134.43360156873
GCLC	90.9650818415077	4.14421178486921	79.6608521093265
NEDD9	167.384960329903	4.14421178486921	156.403837467653
TNFAIP8L3	2.26737698952607	4.14421178486921	1.5947074416777
EDN2	65.2987854674972	4.14421178486921	35.3211362753627
EZR	272.471535891839	4.0645160197467	550.017053509767
SEC14L1	227.381936619565	4.04525438769191	453.020877790256
PTPN1	141.822025030019	4.04525438769191	252.675754391067
KLF9	41.4638672585576	4.04525438769191	23.0631595708213
NPR3	18.4263203986614	4.04525438769191	10.5113743907794
SYBU	2.63343791757718	4.04403122670317	2.90430720681268
CFLAR	61.5088169690278	3.96889744363809	76.4424871888694
KLF6	174.315145008108	3.96889744363809	305.556639940977
SMIM3	60.1854060792008	3.95264605015143	36.8899508724666
GLUL	354.668616832714	3.8925655934498	502.600343806464
FGD4	40.3960488091651	3.88241745581703	22.1019182682426
PDK4	121.395776169705	3.87225624942583	63.971902643397
KLF7	16.8375309093761	3.85644264269567	13.9064881501133
FOXO1	11.6712767019471	3.82800188044643	10.2668606615038
ABLIM3	116.853980308688	3.78730612557948	128.321612493462
FLVCR2	44.6950347242478	3.73333409355938	31.5979638953601
CIART	2.15565714182357	3.71396015762024	1.83293657634495
IL1R1	109.344706828057	3.71396015762024	85.7928527115115
GCNT1	108.019783814994	3.71396015762024	87.2242195005805
CT75	7.85158552789347	3.6940824915787	4.16518983758051
TBC1D8	44.0869144486221	3.69237182417348	38.7565719207196
ERRFI1	1019.98316994626	3.69237182417348	938.654699225
S1PR3	10.2934514446973	3.67638017350973	9.66268187421067
ARHGEF26	40.6588339305154	3.67638017350973	38.0699063472875
LOX	82.7278221683682	3.67638017350973	124.230643223879
AC026703.1	9.41341259020317	3.67638017350973	5.29366968003904
SYTL3	2.95168760550447	3.67638017350973	2.36847908344583
CXCL2	2.57267947040429	3.67638017350973	1.91911095380261
PLIN2	130.676876160458	3.67638017350973	152.562301130829
S1PR1	4.51944596026229	3.65874513267258	4.01110879802858
GAREM1	5.78859147049648	3.65262633444578	6.90992117747497
ZMYND8	101.072835425427	3.62399332113606	151.13449914256
TGFBR2	123.728989325729	3.60047911245532	170.076240678569
RCOR3	46.4622693609119	3.57163317006504	50.7884248196782
