"ensembl_gene_id"	"hgnc_symbol"	"MDA231_DEX_4hr_rep1_SL35876"	"MDA231_DEX_4hr_rep2_SL35877"	"MDA231_DEX_4hr_rep3_SL35878"	"MDA231_EtoH_4hr_rep1_SL35879"	"MDA231_EtoH_4hr_rep2_SL35880"	"MDA231_EtoH_4hr_rep3_SL35881"
"1"	"ENSG00000000003"	"TSPAN6"	28.0257315216593	21.9916265066926	24.0165088210297	20.1104664914339	21.0588233543414	22.1677233053745
"2"	"ENSG00000000419"	"DPM1"	37.7991012104461	32.026388365455	34.2560413849457	28.6413691653268	28.91396566446	30.1944552459521
"3"	"ENSG00000000457"	"SCYL3"	9.7242161111399	8.50227449983154	9.6347705273741	9.05684129224152	8.47550573695826	9.67541514433473
"4"	"ENSG00000000460"	"C1orf112"	43.0667262816027	40.0438081076587	42.8635448913444	37.9923795152887	42.3020790788243	43.3179735478589
"5"	"ENSG00000001036"	"FUCA2"	82.3158580326316	74.2174103997514	80.2179561621353	67.9976234027739	68.4663257702652	72.5232188715567
"6"	"ENSG00000001084"	"GCLC"	128.380952550694	121.681227923251	125.367998616296	31.4493465344765	36.5762923148851	34.5092947163565
"7"	"ENSG00000001167"	"NFYA"	71.0842655403209	66.9099565526457	68.8351748168112	74.7724259442144	81.4017415488276	81.4355292187239
"8"	"ENSG00000001460"	"STPG1"	20.3331966199235	19.2729766157077	21.4980477373481	19.7984690059729	20.3797769006385	20.6038295235249
"9"	"ENSG00000001461"	"NIPAL3"	116.035212298387	111.317457478955	115.393567219083	96.3983087936022	101.278521076353	97.3382563498213
"10"	"ENSG00000001497"	"LAS1L"	64.4567248209341	63.2129390257332	62.17450800339	56.8815987064893	58.9009923915615	64.2703818058924
"11"	"ENSG00000001561"	"ENPP4"	5.01366491998114	4.51953899074548	4.91265599547106	4.32339372710348	5.24793925948157	5.93525953352569
"12"	"ENSG00000001617"	"SEMA3F"	9.03606602408366	14.5975914528676	10.6454687254305	18.0691115151315	16.2384318620061	10.9001512385543
"13"	"ENSG00000001629"	"ANKIB1"	99.2984191096266	96.2263531477879	103.281757665325	82.902188993943	101.62223594798	97.4889930998791
"14"	"ENSG00000001630"	"CYP51A1"	49.8663045227536	45.1261249420794	47.5110997201122	36.3254215215396	42.3104623683762	40.7742908906336
"15"	"ENSG00000001631"	"KRIT1"	37.1928737528013	37.5935599575036	36.73308041133	33.7848705684994	40.0218243207109	39.4741864213851
"16"	"ENSG00000002016"	"RAD52"	7.07811518114985	7.57585558793543	8.78147614704776	6.23994970922152	6.36291676988261	7.39552179971058
"17"	"ENSG00000002330"	"BAD"	32.6461678204655	35.2558673760835	34.140059624513	43.2339372710348	38.2361836461589	36.5159777015009
"18"	"ENSG00000002549"	"LAP3"	75.2213583255995	66.9705633973492	69.282533035623	62.3727544506042	66.7980511494396	65.0711707905745
"19"	"ENSG00000002586"	"CD99"	220.158874280349	206.158511319235	207.872452341248	214.63644156948	188.758147550299	197.578195138255
"20"	"ENSG00000002587"	"HS3ST1"	13.4926570640669	15.5499847267795	13.9923709550601	32.1089983608799	23.8253089064643	19.5863564606348
"21"	"ENSG00000002822"	"MAD1L1"	48.7931180774636	57.723690519732	47.0637415013003	67.5251700676472	57.1237350065614	49.7242854253152
"22"	"ENSG00000002834"	"LASP1"	788.243155671153	950.220085623229	826.270630145518	1088.13134450792	951.23509887357	858.059528657121
"23"	"ENSG00000002919"	"SNX11"	20.80834787051	19.7578313733356	19.7251836850195	23.4622109066729	22.7522478438227	22.6953019305768
"24"	"ENSG00000002933"	"TMEM176A"	0	0	0	0	0	0
"25"	"ENSG00000003056"	"M6PR"	68.2333580368022	63.0917253363263	68.520367181351	61.9181295432181	67.7453628688029	68.4815897606321
"26"	"ENSG00000003096"	"KLHL13"	0.0901148923526023	0	0.0331376458379161	0.0534852832218987	0.0670663164151	0.0282631406358366
"27"	"ENSG00000003137"	"CYP26B1"	9.67506253349303	13.3941126794698	10.3140922670514	17.8373419545032	13.8994940770295	11.6161508013288
"28"	"ENSG00000003147"	"ICA1"	0.43418993588072	0.536803481659425	0.820156734488423	0.623994970922152	0.410781188042487	1.01747306289012
"29"	"ENSG00000003249"	"DBNDD1"	5.58712332586134	6.97844526157252	5.74109714141896	11.0536251991924	9.10425245334982	7.1788377215025
"30"	"ENSG00000003393"	"ALS2"	28.8367655528327	27.0393108584255	29.1942659832041	31.0571211241825	37.557137192456	33.1055587314433
"31"	"ENSG00000003400"	"CASP10"	2.98198371057702	3.35935082070737	3.11493870876411	3.30717334588741	3.88146306252391	3.94741864213851
"32"	"ENSG00000003402"	"CFLAR"	105.057579957252	107.178875797775	109.354231265123	44.1431870858071	46.870971884603	46.0500771426564
"33"	"ENSG00000003436"	"TFPI"	76.5485049220651	72.1481195591611	71.7844252963857	55.3929249901465	62.5728732152883	60.8411207420776
"34"	"ENSG00000003509"	"NDUFAF7"	14.8935340270028	13.255582748719	13.4621686216534	11.463679037227	12.4827181427605	14.3670964898836
"35"	"ENSG00000003756"	"RBM5"	135.942411245371	136.495272392917	140.834994811143	110.518423564183	121.817580478477	130.999656847103
"36"	"ENSG00000004059"	"ARF5"	55.453427848615	59.0830154652244	57.2121455391621	59.7965466420828	55.363244200665	54.5007561927716
"37"	"ENSG00000004139"	"SARM1"	22.7990677652084	28.1215759424163	26.7917866599551	38.8838009023204	37.2972552163475	33.2751375752583
"38"	"ENSG00000004142"	"POLDIP2"	137.171250686543	140.001811265047	135.508118242698	148.591031004305	136.873968513667	125.818081063866
"39"	"ENSG00000004399"	"PLXND1"	70.1421553020892	122.573014352459	86.5058244598799	202.290255359091	142.105141194045	100.824043694908
"40"	"ENSG00000004455"	"AK2"	104.762658491371	89.7500788851871	99.7691672065058	84.872230259283	88.4353214828612	89.7731557062957
"41"	"ENSG00000004468"	"CD38"	0.073730366470311	0.0346324826877048	0.0497064687568741	0.0178284277406329	0.0670663164151	0.150736750057795
"42"	"ENSG00000004478"	"FKBP4"	159.470590412341	150.339607347327	149.061415390406	161.659268538189	157.589076996381	161.721690718257
"43"	"ENSG00000004487"	"KDM1A"	157.676484828231	137.032075874576	158.033433001022	135.005769065943	145.198575038691	145.583437415194
"44"	"ENSG00000004534"	"RBM6"	77.1301555908864	76.2174362749664	75.8603557344494	62.1766417454573	69.8663351254304	79.1367937803425
"45"	"ENSG00000004660"	"CAMKK1"	8.27418557055712	12.0521039753213	9.09628378250796	8.43284632131937	6.58926558778357	6.75489061196495
"46"	"ENSG00000004700"	"RECQL"	45.2786372757121	43.9659367720413	44.7523907041057	35.7638260477096	44.5068842309707	40.5105015780325
